,date,y,y_p,ln_y_p_over_y,log_y,d4_log_y,rr_ma4_l1,rr_ma4_l5,rr_ma4_l9,u_ma4_l1,u_ma4_l2,u_ma4_l3,u_ma4_l4,u_ma4_l5,d_u,d4_u,d4_u_l1,d4_u_ma4_l1,cci_cs_ma4_l1,cci_fs_ma4_l1,cci_es_ma4_l1,t_bill_d4,t_bill_d4_l1,stock_log_ma4_l1,oil_log_ma4_l1,oil_log_ma4_l5,fx_log_ma4_l1,fx_log_ma4_l5,log_work_age_pop_share,covid19,trend,splittrend_pdv
35,1988-12-31 23:59:59.999999999,69.79398101393659,74.33649800175536,0.06305428174229011,4.245547774158117,0.03399635756070296,4.6851611450261235,4.5935158913882335,4.612030980548543,8.9483455,9.058546499999999,9.190788,9.278948999999999,9.300989,-0.17632199999999898,-0.5289660000000005,-0.440804,-0.3526434999999992,-5.824999999999999,-0.20833333333333337,-12.45,-0.35333333300000014,-0.2600000000000007,3.0606099349248166,2.770696573235914,,4.696722604919399,4.712947934216769,4.189206084060798,0.0,35.0,0.0
36,1989-03-31 23:59:59.999999999,69.97576247222784,74.67606125681156,0.06501064398182876,4.248148931694105,0.029734889327166947,4.765455034763189,4.389601584738645,4.991822343900975,8.816104,8.9483455,9.058546499999999,9.190788,9.278948999999999,-0.08816200000000052,-0.44080600000000025,-0.5289660000000005,-0.46284499999999973,-4.883333333333333,0.45833333333333326,-10.583333333333334,1.0299999999999994,-0.35333333300000014,3.1420309030363662,2.7021585550588894,,4.6883661966704215,4.712579773301511,4.189204035037794,0.0,36.0,0.0
37,1989-06-30 23:59:59.999999999,69.87477277317714,75.02612346249931,0.07113168615726817,4.246704679565534,0.01690755915374975,4.740122945151515,4.515516383019391,4.911451809898477,8.7059025,8.816104,8.9483455,9.058546499999999,9.190788,-0.17632099999999973,-0.4408049999999992,-0.44080600000000025,-0.48488549999999897,-4.3500000000000005,0.825,-9.983333333333334,1.1046999999999993,1.0299999999999994,3.2690718600415165,2.7299454533816188,2.880713504876689,4.6776356640997125,4.708728355904581,4.188860168364647,0.0,37.0,0.0
38,1989-09-30 23:59:59.999999999,71.3189254696021,75.40517671537394,0.05571420280466377,4.267161726555055,0.03281814381309456,4.905081756736413,4.51263938229568,4.849356029211643,8.59570125,8.7059025,8.816104,8.9483455,9.058546499999999,-0.17632200000000076,-0.617127,-0.4408049999999992,-0.4628452499999991,-4.441666666666666,0.7833333333333333,-11.258333333333333,1.550866666000001,1.1046999999999993,3.3697252849901704,2.7689029387183632,2.8419326979925277,4.669334763604811,4.704023560728709,4.188512402694688,0.0,38.0,0.0
39,1989-12-31 23:59:59.999999999,72.14704100181781,75.71986380183071,0.04833425500845223,4.278706272623058,0.03315849846494068,5.105818480688789,4.6851611450261235,4.5935158913882335,8.4414195,8.59570125,8.7059025,8.816104,8.9483455,-0.17632199999999898,-0.617127,-0.617127,-0.506926,-4.574999999999999,0.925,-12.091666666666667,2.2595666659999996,1.550866666000001,3.463140684742258,2.817298195319372,2.770696573235914,4.665080734260648,4.696722604919399,4.1881645160416925,0.0,39.0,0.0
40,1990-03-31 23:59:59.999999999,73.14683902241973,76.00964460385156,0.03839132065507478,4.29246891426205,0.044319982567945004,5.508103266352227,4.765455034763189,4.389601584738645,8.28713775,8.4414195,8.59570125,8.7059025,8.816104,-0.08816200000000052,-0.617127,-0.617127,-0.5289662499999999,-4.633333333333333,0.9416666666666667,-12.416666666666666,1.830666667000001,2.2595666659999996,3.5159107803237175,2.903354857922413,2.7021585550588894,4.666360263086296,4.6883661966704215,4.18782407499461,0.0,40.0,0.0
41,1990-06-30 23:59:59.999999999,72.97515653403354,76.25711812611664,0.0439917018298015,4.290119061774309,0.04341438220877514,5.934407980650097,4.740122945151515,4.515516383019391,8.132856,8.28713775,8.4414195,8.59570125,8.7059025,-0.08816099999999949,-0.5289669999999997,-0.617127,-0.5730465000000002,-4.45,1.3916666666666666,-12.208333333333332,1.0767666670000011,1.830666667000001,3.5331944172461927,2.933200431744332,2.7299454533816188,4.6751882624093035,4.6776356640997125,4.1872029822673555,0.0,41.0,0.0
42,1990-09-30 23:59:59.999999999,73.93455867501514,76.53409860983952,0.03455601527142882,4.303180359713366,0.036018633158311,6.309156669042681,4.905081756736413,4.51263938229568,8.00061425,8.132856,8.28713775,8.4414195,8.59570125,0.0,-0.352644999999999,-0.5289669999999997,-0.5950869999999995,-4.283333333333333,1.6166666666666667,-11.866666666666667,0.9804999999999993,1.0767666670000011,3.5548346212071045,2.8922224194004746,2.7689029387183632,4.684925839251086,4.669334763604811,4.186574671961706,0.0,42.0,0.0
43,1990-12-31 23:59:59.999999999,73.43970914966674,76.7703025919688,0.04435309444725899,4.296464785924038,0.017758513300980105,6.594343465480873,5.105818480688789,4.6851611450261235,7.912453000000001,8.00061425,8.132856,8.28713775,8.4414195,0.0,-0.176323,-0.352644999999999,-0.5289664999999992,-4.725,1.2416666666666667,-13.4,-0.3935999999999993,0.9804999999999993,3.518791281195237,2.996763745453462,2.817298195319372,4.693954598248606,4.665080734260648,4.185945966634007,0.0,43.0,0.0
44,1991-03-31 23:59:59.999999999,73.86386588567967,77.06199157741632,0.04238643459119462,4.30222374877605,0.009754834514000166,6.484483139005842,5.508103266352227,4.765455034763189,7.86837225,7.912453000000001,8.00061425,8.132856,8.28713775,0.08816099999999949,0.0,-0.176323,-0.41876549999999924,-6.025,0.31666666666666676,-17.066666666666666,-0.9668333330000003,-0.3935999999999993,3.4676071141773344,3.128508342320574,2.903354857922413,4.699795306672536,4.666360263086296,4.185330546101756,0.0,44.0,0.0
